Date,Weekday,Type of session,Week,SME,Topics  covered,Time,Gmeet link,Drive link,Recording link,Number of participants,Session Summary,Resources
22/Aug/26,Saturday,TA Session,Week 10,,doubts,9:00pm - 9:30pm,meet.google.com/kig-jbhi-pby,,,,,
24/Aug/26,Monday,Doubt Clearing,Week 10,,"Week 10 pytest(fixtures, markers, etc)",6:00 pm - 8:00 pm,meet.google.com/chb-cvre-nfm,,,,,
25/Aug/26,Tuesday,TA Session,Week 11,,Week 11 concept summary,6:00 pm - 8:00 pm,meet.google.com/kig-jbhi-pby,,,,,Notes
27/Aug/26,Thursday,TA Session,Week 11,,doubts,9:00pm - 9:30pm,meet.google.com/kig-jbhi-pby,,,,,
28/Aug/26,Friday,Doubt Clearing,Week 12,,git concepts,6:00 pm - 8:00 pm,meet.google.com/chb-cvre-nfm,,,,,
29/Aug/26,Saturday,TA Session,Week 12,,git + github setup,6:00 pm - 8:00 pm,meet.google.com/kig-jbhi-pby,,,,,
31/Aug/26,Monday,Doubt Clearing,Week 12,,Sept 2025 ET Solving,6:00 pm - 8:00 pm,meet.google.com/chb-cvre-nfm,,,,,
1/Sep/26,Tuesday,TA Session,doubt,,doubts,9:00pm - 9:30pm,meet.google.com/kig-jbhi-pby,,,,,
3/Sep/26,Thursday,TA Session,PYQ,,May 2025 ET Solving,6:00 pm - 8:00 pm,meet.google.com/kig-jbhi-pby,,,,,
4/Sep/26,Friday,Doubt Clearing,doubt,,doubts,9:00pm - 9:30pm,meet.google.com/chb-cvre-nfm,,,,,
5/Sep/26,Saturday,TA Session,PYQ,,Jan 2025 ET Solving,6:00 pm - 8:00 pm,meet.google.com/kig-jbhi-pby,,,,,
7/Sep/26,Monday,Doubt Clearing,PYQ,,May 2024 ET Solving,6:00 pm - 8:00 pm,meet.google.com/chb-cvre-nfm,,,,,
8/Sep/26,Tuesday,TA Session,doubt,,doubts,9:00 pm - 10:00 pm,meet.google.com/kig-jbhi-pby,,,,,
10/Sep/26,Thursday,TA Session,,,,,meet.google.com/kig-jbhi-pby,,,,,
11/Sep/26,Friday,Doubt Clearing,doubt,,doubts,9:00 pm - 10:00 pm,meet.google.com/kig-jbhi-pby,,,,,
